station_name,year,type,time_average,param,name,value,threshold,threshold_2025,data_capture_met,q1,q2,q3,q4
Prince George Plaza 400,2014,BC AQO,24-hour,pm25,PM2.5 24-hr,39.2,25,25,yes,100,98.9,100,97.8
Prince George Plaza 400,2015,BC AQO,24-hour,pm25,PM2.5 24-hr,23.7,25,25,yes,,,,
Prince George Plaza 400,2016,BC AQO,24-hour,pm25,PM2.5 24-hr,21.2,25,25,yes,100,97.8,100,97.8
Prince George Plaza 400,2017,BC AQO,24-hour,pm25,PM2.5 24-hr,53.8,25,25,no,97.8,98.9,57.6,
Prince George Plaza 400,2018,BC AQO,24-hour,pm25,PM2.5 24-hr,120,25,25,yes,82.2,100,98.9,100
Prince George Plaza 400,2019,BC AQO,24-hour,pm25,PM2.5 24-hr,30.5,25,25,no,100,98.9,13,
Prince George Plaza 400,2020,BC AQO,24-hour,pm25,PM2.5 24-hr,19.2,25,25,no,94.5,100,38,100
Prince George Plaza 400,2021,BC AQO,24-hour,pm25,PM2.5 24-hr,36.3,25,25,yes,100,100,100,100
Prince George Plaza 400,2022,BC AQO,24-hour,pm25,PM2.5 24-hr,17.4,25,25,no,96.7,97.8,34.8,47.8
Prince George Plaza 400,2023,BC AQO,24-hour,pm25,PM2.5 24-hr,72.9,25,25,yes,100,100,82.6,75
Prince George Plaza 400,2024,BC AQO,24-hour,pm25,PM2.5 24-hr,36.2,25,25,yes,98.9,95.6,96.7,87.8
Prince George Plaza 400,2025,BC AQO,24-hour,pm25,PM2.5 24-hr,43.3,25,25,yes,61.1,100,94.6,93.5
Prince George Plaza 400,2005,BC AQO,annual,pm25,PM2.5 annual,11.2,,,yes,,,,
Prince George Plaza 400,2006,BC AQO,annual,pm25,PM2.5 annual,10.7,,,yes,,,,
Prince George Plaza 400,2007,BC AQO,annual,pm25,PM2.5 annual,9.8,,,yes,,,,
Prince George Plaza 400,2008,BC AQO,annual,pm25,PM2.5 annual,102,,,yes,,,,
Prince George Plaza 400,2009,BC AQO,annual,pm25,PM2.5 annual,9.9,,,yes,,,,
Prince George Plaza 400,2010,BC AQO,annual,pm25,PM2.5 annual,11.3,8,8,yes,,,,
Prince George Plaza 400,2011,BC AQO,annual,pm25,PM2.5 annual,8,8,8,yes,,,,
Prince George Plaza 400,2012,BC AQO,annual,pm25,PM2.5 annual,8.9,8,8,yes,,,,
Prince George Plaza 400,2013,BC AQO,annual,pm25,PM2.5 annual,8.8,8,8,yes,68.9,100,100,100
Prince George Plaza 400,2014,BC AQO,annual,pm25,PM2.5 annual,10.2,8,8,yes,100,98.9,100,97.8
Prince George Plaza 400,2015,BC AQO,annual,pm25,PM2.5 annual,8.7,8,8,no,88.9,44,96.7,100
Prince George Plaza 400,2016,BC AQO,annual,pm25,PM2.5 annual,8.4,8,8,yes,100,97.8,100,97.8
Prince George Plaza 400,2017,BC AQO,annual,pm25,PM2.5 annual,11.5,8,8,no,97.8,98.9,57.6,
Prince George Plaza 400,2018,BC AQO,annual,pm25,PM2.5 annual,16.3,8,8,yes,82.2,100,98.9,100
Prince George Plaza 400,2019,BC AQO,annual,pm25,PM2.5 annual,10.3,8,8,no,100,98.9,13,
Prince George Plaza 400,2020,BC AQO,annual,pm25,PM2.5 annual,7.5,8,8,no,94.5,100,38,100
Prince George Plaza 400,2021,BC AQO,annual,pm25,PM2.5 annual,9.1,8,8,yes,100,100,100,100
Prince George Plaza 400,2022,BC AQO,annual,pm25,PM2.5 annual,6.9,8,8,no,96.7,97.8,34.8,47.8
Prince George Plaza 400,2023,BC AQO,annual,pm25,PM2.5 annual,13.3,8,8,yes,100,100,82.6,75
Prince George Plaza 400,2024,BC AQO,annual,pm25,PM2.5 annual,9.1,8,8,yes,98.9,95.6,96.7,87.8
Prince George Plaza 400,2025,BC AQO,annual,pm25,PM2.5 annual,9.3,8,8,yes,61.1,100,94.6,93.5
Prince George Plaza 400,2010,BC AQO,24-hour,pm10,PM10 24-hr,11,50,50,yes,97.8,95.6,100,96.7
Prince George Plaza 400,2011,BC AQO,24-hour,pm10,PM10 24-hr,3,50,50,yes,81.1,96.7,93.5,88
Prince George Plaza 400,2012,BC AQO,24-hour,pm10,PM10 24-hr,9,50,50,yes,100,93.4,100,100
Prince George Plaza 400,2013,BC AQO,24-hour,pm10,PM10 24-hr,12,50,50,yes,100,100,98.9,100
Prince George Plaza 400,2014,BC AQO,24-hour,pm10,PM10 24-hr,10,50,50,yes,100,98.9,100,97.8
Prince George Plaza 400,2015,BC AQO,24-hour,pm10,PM10 24-hr,5,50,50,yes,95.6,100,96.7,100
Prince George Plaza 400,2016,BC AQO,24-hour,pm10,PM10 24-hr,4,50,50,yes,97.8,97.8,100,70.7
Prince George Plaza 400,2017,BC AQO,24-hour,pm10,PM10 24-hr,7,50,50,no,93.3,98.9,50,
Prince George Plaza 400,2018,BC AQO,24-hour,pm10,PM10 24-hr,28,50,50,no,72.2,100,100,53.3
Prince George Plaza 400,2019,BC AQO,24-hour,pm10,PM10 24-hr,15,50,50,yes,100,98.9,94.6,100
Prince George Plaza 400,2020,BC AQO,24-hour,pm10,PM10 24-hr,0,50,50,yes,100,78,100,97.8
Prince George Plaza 400,2021,BC AQO,24-hour,pm10,PM10 24-hr,9,50,50,yes,96.7,97.8,96.7,100
Prince George Plaza 400,2022,BC AQO,24-hour,pm10,PM10 24-hr,11,50,50,yes,96.7,100,100,100
Prince George Plaza 400,2023,BC AQO,24-hour,pm10,PM10 24-hr,42,50,50,yes,100,100,100,97.8
Prince George Plaza 400,2024,BC AQO,24-hour,pm10,PM10 24-hr,,50,50,no,100,98.9,96.7,58.7
Prince George Plaza 400,2025,BC AQO,24-hour,pm10,PM10 24-hr,14,50,50,yes,86.7,100,100,82.6
